seed,data_idx,elbo,msep,msep from mode,log_prob
6,6,15460.886418495327,0.0058953197619987,0.005937049167481,7401.737531250592
5,3,15914.974535353947,0.0020202062406553,0.0020373286093807,7498.476111095463
6,7,16012.498379640749,0.0003590041253662,0.0003622288032507,7514.08707294831
5,4,16716.00102671981,0.0040712140791399,0.0041188614252433,7722.851755355525
6,8,16247.551467764191,0.0003588531724222,0.0003601644189122,7567.891145109103
6,9,14164.086864653043,0.0004398451220583,0.0004437076858294,7441.868884191367
6,0,17407.9817944807,0.0003557030877372,0.0003593281629556,7484.767695289727
7,5,16691.539383536205,0.0002979583523842,0.000300170251206,7468.801683958185
6,1,16736.245272284374,0.0004283024244891,0.0004339134390177,7510.63924899719
6,2,15842.94876982458,0.0003155024192267,0.0003175549018203,7775.086888518203
7,7,17351.334880413022,0.0003447360512887,0.0003471556086003,7665.78148083037
6,3,16168.709981796796,0.000357214571563,0.0003598956788375,7292.421635611448
7,8,16233.897080351133,0.0011129432623223,0.0011214386397985,7709.206602458555
6,4,15944.094243889676,0.0003581284448518,0.000360608249582,7293.646590919635
7,9,16403.318141733762,0.0003487144349525,0.0003509925489396,7352.85933276596
8,5,16140.684415827973,0.0003473724499304,0.0003503029027755,7233.264124023954
7,0,16818.691742706113,0.0036094480861826,0.0036286610468681,7214.638243336051
8,6,15323.332950512411,0.0003168250907503,0.000318570250938,7648.227656874999
7,1,17113.81349222362,0.0003344490754572,0.0003368335090934,7499.883189955142
8,7,15136.338520948775,0.0013433886485456,0.0013550152511949,7660.440033175664
1,0,17027.444210937247,0.0054663906549851,0.005539840800617,7346.764479817426
7,2,15979.496169447431,0.0002992495510978,0.0003010309627229,7716.274809599742
7,3,15481.009646186603,0.0020564549307659,0.0020896249116552,7430.506639128097
7,4,16393.57098515751,0.0015449024079588,0.001566000162768,7200.386947039191
7,6,15481.225450769998,0.000311679511915,0.000313717638871,7590.366778454943
16,0,15890.1779958345,0.0019194198565558,0.0019384093647191,7536.367119234848
8,0,15826.238891805988,0.0006075158328338,0.0006131546404491,7408.541663011186
8,1,14777.276742358226,0.0003602726801182,0.0003631221006337,7536.612177205632
16,1,16298.551308325492,0.0003317055969589,0.0003342417194152,7527.670662283563
8,2,16717.067743909545,0.0060330633420401,0.0060806704293913,7341.514854405286
8,3,15631.84309015982,0.0032569780849114,0.0033104069497446,7235.210011051135
8,4,16095.168306732085,0.0003304010122716,0.0003322962545718,7381.925033355576
16,2,15243.172374791,0.000841516675579,0.000846990821133,7765.514914306355
8,8,15616.559037640223,0.0003298873859912,0.0003313862457945,7657.734264569652
8,9,15559.604141858406,0.0049707398960958,0.0050476187172381,7416.122084215047
9,0,16452.11944287503,0.0003204144542736,0.0003225310182257,7523.917261917577
16,3,15207.402287038509,0.0003166501721591,0.0003187391325093,7659.224537027943
9,1,15067.257543692363,0.0003675790975755,0.0003724380744438,7839.066827933444
9,2,16692.9003649652,0.0003900037298284,0.0003931262171109,7699.929192896719
16,4,16172.622490796726,0.0003158824656468,0.0003182222799841,7451.024899596929
9,3,16555.523630637676,0.0003552235026891,0.0003584461065052,7404.86936415062
9,4,15206.603814230766,0.0014331069249885,0.0014545277990501,7596.419684806038
9,5,16340.830605043564,0.0003096488161744,0.0003115045769518,7619.595969051305
16,5,16292.629802373238,0.00029670751312,0.0002985012113029,7501.065158442396
9,6,16611.06689242646,0.0002937529106603,0.000296023196255,7641.379983580348
9,7,16675.469955407083,0.0009833773103543,0.0009963861372732,7579.06795705813
9,8,15047.96953387931,0.0003278090539008,0.000328912214635,7638.10445818975
16,6,16595.27136763325,0.0003105602202756,0.0003120788824841,7691.3240117639425
9,9,16858.47578205727,0.0003368772483927,0.0003394522347902,7575.969275526962
10,0,14581.424437143374,0.0003058824651025,0.0003082643509861,7478.696496889782
16,7,15365.423728052992,0.0003491068604263,0.0003512008714264,7581.709522866497
10,1,15559.950055413414,0.0003268208097735,0.0003286734681237,7395.889761803204
10,2,16174.75124511309,0.001508002502095,0.0015395876015215,7114.310968359547
10,3,14340.894335577264,0.0003692138573639,0.0003714117066049,7490.1710588732385
16,8,15295.766715547536,0.0017807847523424,0.001792423029111,7655.288108136203
10,4,15588.183158989064,0.0035221515041883,0.0035440407218569,7421.645855567477
10,5,16131.203548474705,0.0003157721541146,0.0003183754951418,7472.654025044694
16,9,15333.863941286225,0.001447865098307,0.0014542001934867,7699.913870985722
