seed,fold_number,elbo,accuracy,log_prob
3,4,-43701.70087736688,0.8571428571428571,-3.718437035732896
12,3,-43507.7660861481,0.8571428571428571,-2.125531442460074
17,3,-43554.51624125731,1.0,-1.0595878835091743
12,4,-43526.52112576645,0.8571428571428571,-3.9712444708939207
4,0,-43013.55382870516,0.7142857142857142,-8.309567905827107
17,4,-43675.65648427344,0.8571428571428571,-4.091538459676444
12,5,-43499.12392475311,0.7142857142857142,-5.230691777534833
4,7,-43511.92697492638,0.7142857142857142,-9.37747446034554
17,5,-43349.61545014428,0.7142857142857142,-7.992004068960895
12,6,-43377.76895078237,0.8571428571428571,-4.571186680245546
4,8,-43249.90335955622,0.7142857142857142,-2.254791907789504
17,6,-43238.17371627793,0.7142857142857142,-8.464939292907427
12,7,-43485.85880482022,0.5714285714285714,-12.279714492192609
4,9,-43112.41846209334,0.8571428571428571,-5.1247161052954535
4,7,-43226.34103681741,0.7142857142857143,-8.308388862973205
17,7,-43469.40033565875,0.7142857142857142,-8.345671536865648
12,8,-43405.77384074364,0.8571428571428571,-1.874742879487227
17,8,-43548.286828654,0.8571428571428571,-4.080518836252252
12,9,-43181.100486188254,0.7142857142857142,-7.035253846901451
17,9,-43255.92001777538,0.7142857142857142,-8.792683117194759
13,0,-43042.01183957519,0.8571428571428571,-1.2778190144884332
13,1,-43000.17840431171,0.4285714285714285,-12.627654465183914
13,2,-42957.36901773524,0.5714285714285714,-7.623339566734507
13,3,-43589.825541977305,0.8571428571428571,-4.045683969831683
13,4,-43656.10975310876,0.8571428571428571,-3.823766133252964
13,5,-43215.03795290919,0.7142857142857142,-7.113742899692854
13,6,-43383.54173514887,0.7142857142857142,-6.7411909887441
13,7,-43448.33431662619,0.7142857142857142,-8.536165233505733
13,8,-43216.96059629356,0.7142857142857142,-8.022121053697916
13,9,-42981.60176386661,0.8571428571428571,-5.5760220249150025
14,0,-43408.89127650327,0.5714285714285714,-11.842740262400328
14,1,-43139.84791032935,0.4285714285714285,-12.727512431647911
14,2,-43045.41942079808,1.0,-0.3403467166195119
14,3,-43531.519709126325,0.8571428571428571,-4.055696728019191
14,4,-43308.824769168976,0.8571428571428571,-4.972234326051424
14,5,-43544.50318791973,0.5714285714285714,-11.983822158934007
14,6,-43576.5076936924,0.8571428571428571,-4.044550221122287
14,7,-43424.07046515762,0.7142857142857142,-6.784265852582267
14,8,-43261.18240096036,0.7142857142857142,-4.300318496226524
14,9,-43192.14826235868,0.5714285714285714,-12.63440529006832
18,0,-43147.71135616739,0.5714285714285714,-10.801386219974702
28,0,-43116.24319837289,0.8571428571428571,-3.2896838534853567
23,0,-43183.76130667079,0.8571428571428571,-5.64214207780447
18,1,-43240.50591782504,0.4285714285714285,-12.934721437078927
28,1,-43197.182112030685,0.2857142857142857,-16.27243489491456
23,1,-43192.94135750469,0.5714285714285714,-9.826944182838218
18,2,-43233.801964688406,0.5714285714285714,-7.711147664410975
28,2,-43191.80097104824,0.5714285714285714,-6.515665462425407
23,2,-43311.34567977802,0.5714285714285714,-8.756733021628703
18,3,-43689.36216520792,0.8571428571428571,-2.915491145665171
28,3,-43730.65436222008,0.7142857142857142,-4.183776048311292
23,3,-43535.08531358675,0.8571428571428571,-2.0168548165279216
18,4,-43661.9001545409,0.8571428571428571,-3.9456239709161527
28,4,-43479.9958186695,0.5714285714285714,-9.32538822859788
23,4,-43715.30581349332,0.8571428571428571,-3.543493143878892
18,5,-43534.10915120796,0.7142857142857142,-6.771503046975566
28,5,-43496.61579385068,0.7142857142857142,-6.362156675966408
23,5,-43233.19602510589,0.8571428571428571,-4.18787522176135
18,6,-43170.53809287329,0.7142857142857142,-9.116326159490074
28,6,-43345.58976038778,0.7142857142857142,-7.930347830583774
23,6,-43373.776258640166,0.7142857142857142,-7.000498331531174
18,7,-43547.53891663987,0.7142857142857142,-9.347861267539775
28,7,-43446.23810993764,0.5714285714285714,-9.829882686778223
23,7,-43431.00495432218,0.5714285714285714,-8.626456237105025
18,8,-43481.43494344177,0.5714285714285714,-5.143025790759701
28,8,-43264.312393954606,0.5714285714285714,-7.350890367339797
23,8,-43215.02803507994,0.4285714285714285,-7.011424927001394
18,9,-43261.4942471172,0.8571428571428571,-5.170598165105953
