seed,fold_number,mll,accuracy,num_pca_dims,log_prob
0,2,-1.3865128275991758,0.0,8,-9.70804794240836
0,3,-1.1310985841457537,0.1428571428571428,1,-11.766935536950143
0,3,-0.8439358525751949,0.4285714285714285,2,-7.998358200328965
0,3,-1.3862736014821329,0.2857142857142857,3,-9.703748048255049
0,3,-1.3861649027070322,0.2857142857142857,4,-9.693547494924488
0,3,-1.386290550216261,0.1428571428571428,5,-9.715510050968366
0,3,-1.3858902414251375,0.4285714285714285,6,-9.696529463017972
0,3,-1.3862048177266335,0.1428571428571428,7,-9.70907653282769
0,3,-1.3861717346742095,0.1428571428571428,8,-9.70294216044176
0,4,-1.386295781336262,0.4285714285714285,1,-9.741296858981736
0,4,-1.38654801572782,0.7142857142857143,2,-9.688852785414957
0,4,-1.3863209439937885,0.1428571428571428,3,-9.706515232239484
0,4,-1.3859950063132154,0.1428571428571428,4,-9.709897916582372
0,4,-1.3861622061639285,0.1428571428571428,5,-9.690600746679458
0,4,-1.3859195115342369,0.4285714285714285,6,-9.687268849312613
0,4,-1.3868033264844688,0.0,7,-9.711055403337014
0,4,-1.3862329211202118,0.2857142857142857,8,-9.70045670276501
0,5,-1.3585069399572651,0.1428571428571428,1,-10.053469378495512
0,5,-1.3867522879003145,0.0,2,-9.7089855003347
0,5,-1.3863404591476065,0.0,3,-9.705880775225026
0,5,-1.386258290503797,0.1428571428571428,4,-9.708748781607412
0,5,-1.3863292745334528,0.2857142857142857,5,-9.696680967394771
0,5,-1.3859102138014086,0.4285714285714285,6,-9.706293319739403
0,5,-1.3866677035015584,0.0,7,-9.721051864320552
0,5,-1.3862980512810528,0.1428571428571428,8,-9.701991163020384
0,6,-1.0682398771019626,0.1428571428571428,1,-11.0925487752736
0,6,-1.3861460720229226,0.2857142857142857,2,-9.69565233027504
0,6,-1.3864133179049936,0.1428571428571428,3,-9.706934764718833
0,6,-1.3863771839250896,0.5714285714285714,4,-9.699772046908214
0,6,-1.3862925307128484,0.1428571428571428,5,-9.71767166500524
0,6,-1.3858054153053945,0.4285714285714285,6,-9.711460999319089
0,6,-1.38697849415832,0.2857142857142857,7,-9.701356477088428
0,6,-1.3864111531171337,0.2857142857142857,8,-9.718232128340167
0,7,-1.3141534165440054,0.2857142857142857,1,-11.662927927081672
0,7,-1.3862854182080138,0.1428571428571428,2,-9.710557289531929
0,7,-1.3865279079657002,0.0,3,-9.708651435849928
0,7,-1.3863820088537129,0.1428571428571428,4,-9.714997519771122
0,7,-1.3862645834691782,0.0,5,-9.71695582544481
0,7,-1.385625447766871,0.4285714285714285,6,-9.696321008029482
0,7,-1.387336751636339,0.2857142857142857,7,-9.702784278372272
0,7,-1.3862556320262884,0.1428571428571428,8,-9.74086132253273
0,8,-1.365548077605973,0.2857142857142857,1,-9.570021848021735
0,8,-1.3862660735194652,0.4285714285714285,2,-9.699544582977367
0,8,-1.3866123101976662,0.2857142857142857,3,-9.699440073843096
0,8,-1.3863338122649298,0.0,4,-9.725156890402191
0,8,-1.386508789733654,0.1428571428571428,5,-9.708617225996004
0,8,-1.3857013361940986,0.2857142857142857,6,-9.703503901950034
0,8,-1.3871787364442083,0.7142857142857143,7,-9.694918543230049
0,8,-1.3858448282050355,0.1428571428571428,8,-9.724076702828068
0,9,-1.3572592515429325,0.1428571428571428,1,-9.598674997764569
0,9,-1.3863687642562723,0.2857142857142857,2,-9.70842966988298
0,9,-1.386451861540268,0.0,3,-9.710455350123322
0,9,-1.3863559506471912,0.4285714285714285,4,-9.703189543630316
0,9,-1.386537416541867,0.0,5,-9.729276629209137
